paper_id,标题,总结,分类,是否核心相关,相关性理由,载体设计_聚合物名称,载体设计_载体形态,载体设计_响应机制,负载物信息_名称,负载物信息_类型,负载物信息_形态状态,微生物指标_包埋效率,微生物指标_保护性能,微生物指标_释放后活性,微生物指标_泄露控制,释放特性_触发条件,释放特性_释放动力学
bd504e2e-4861-4555-aef5-1c2592247f9f,Albumin-Conjugated Lipid-Based Multilayered Nanoemulsion Improves Drug Specificity and Anti-Inflammatory Potential at the Spinal Cord Injury gSite after Intravenous Administration,本研究开发了一种白蛋白偶联的多层脂质纳米乳（albumin-MNE），用于包裹甲基强的松龙（MP），以提高其在脊髓损伤（SCI）部位的靶向性。MNE以卵磷脂为乳化剂、壳聚糖（chitosan）为阳离子聚合物，通过乳化-离子沉积法制备，再经N-羟基琥珀酰亚胺（NHS）偶联白蛋白。纳米乳呈球形、表面光滑，粒径83.2±14.4 nm，多分散指数（PDI）0.231，ζ电位+62.7 mV，包封率68.9%。体外释放显示，96小时时MP从MNE和albumin-MNE中释放率分别为68.5%和72.2%。细胞实验表明，albumin-MNE对星形胶质细胞的毒性更低。在SCI大鼠模型中，albumin-MNE显著改善行为学评分，减轻组织病理损伤，并通过免疫荧光检测显示Bax介导的线粒体凋亡显著下调。结果表明，albumin-MNE可有效靶向SCI部位，减少药物在正常细胞中的非特异性暴露，提升MP的疗效与安全性，为SCI后炎症反应治疗提供安全高效的递送策略。,"Drug Delivery, Natural Polymers, Proteins",FALSE,该研究聚焦于药物（甲基强的松龙）的纳米递送系统设计，但其载体为脂质多层纳米乳液（MNE），未体现聚合物的刺激响应性或可控释放机制；虽使用了壳聚糖（chitosan）和白蛋白（albumin）进行包覆，但未展示对环境刺激（如pH、酶、ROS）的响应行为，也未强调控释或靶向释放的机制。此外，负载物为化学药物（MP），非活性微生物，因此不满足【Polymer for Delivery】核心特征中对聚合物响应性与可控释放的设计要求。,"Chitosan, Albumin",Multilayered nanoemulsion,,Methyl prednisolone (MP),Drug,,,,,,,Sustained release (in vitro release of 72.2% after 96 hours)
bd583cf3-f3fc-4d3d-8b1e-dba2c2c28ba0,Amphiphilic triblock copolymer and a microfluidic device for porous microfiber fabrication,本研究利用基于PDMS的微流控装置，通过双流体共流法（core-sheath flow）结合浸浴沉淀与溶剂蒸发双重机制，成功制备了不同直径（2–200 μm）的多孔微纤维。以两亲性ABA三嵌段共聚物PPDO-co-PCL-PEG-PPDO-co-PCL（溶于CH₂Cl₂）为芯流，去离子水（DI H₂O）为鞘流，控制芯流速5–50 μl/min、鞘流速100 ml/h，实现连续纤维生成。所得多孔纤维支架具有可控孔结构，体外蛋白释放实验显示纤连蛋白（fibronectin）可持续释放达8周，归因于PCL段降解较慢。表面接触角分析与L929小鼠成纤维细胞WST-1增殖实验证实其良好亲水性与细胞相容性。结果表明，该微流控系统与两亲性三嵌段共聚物协同可高效构建可调直径、多孔结构的微纤维支架，适用于组织再生及蛋白/药物控释的生物材料应用。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,使用两亲性三嵌段共聚物（PPDO-co-PCL-PEG-PPDO-co-PCL）与微流控装置构建具有可控孔隙结构的微纤维，通过浸没沉淀与溶剂蒸发双重机制实现药物/蛋白的控释，聚合物降解速率调控释放行为，符合聚合物载体设计与环境响应性释放的核心特征。,Poly(p-dioxanone-co-caprolactone)-block-poly(ethylene oxide)-block-poly(p-dioxanone-co-caprolactone) (PPDO-co-PCL-PEG-PPDO-co-PCL),Porous microfiber,pH/环境响应性降解（基于PCL块段缓慢降解，释放持续至8周）,Fibronectin,Drug,,,,,,"In vitro degradation (pH 7.4, PBS buffer)",Sustained release (持续释放至8周，归因于PCL块段缓慢降解)
bd6f95af-45c1-4a5b-9356-aa4434f2eea5,Two-Stage Desorption-Controlled Release of Fluorescent Dye and Vitamin from Solution-Blown and Electrospun Nanofiber Mats Containing Porogens,本研究系统研究了水溶性（Rhodamine B）与部分水溶性（维生素B₂，核黄素）模型药物在含孔剂（如PEG）的亲水性大豆蛋白基与疏水性PET基溶液吹纺及电纺纳米纤维毡中的两阶段解吸控制释放动力学。通过荧光强度追踪药物释放，发现释放率受限于解吸过程，且未达100%。引入PEG孔剂可形成纳米裂纹，显著促进释放并实现接近完全释放，释放速率可通过孔剂类型调控。研究对比了实心与核壳结构纳米纤维，结合实验与理论分析，建立了描述解吸控制释放过程的物理参数。研究目标为揭示孔剂对生物可降解大豆蛋白基纳米纤维中药物释放的调控机制，创新性地实现基于天然蛋白的可控释放体系，为组织工程与药物递送提供新策略。,"Drug Delivery, Natural Polymers, Proteins",FALSE,该研究聚焦于纳米纤维基质中模型药物（荧光染料和维生素）的释放行为，虽涉及聚合物载体（大豆蛋白、PET）和释放控制机制，但负载物为化学药物（Rhodamine B、riboflavin），且未体现对环境刺激（如pH、酶、ROS）的响应性设计或可控释放策略；释放过程受‘脱附’限制，属于物理扩散主导，缺乏智能响应或结构化控释设计，不符合【Polymer for Delivery】核心特征。,"Soy protein, Poly(ethylene terephthalate) (PET)","Monolithic nanofibers, Core-shell nanofibers",null,"Rhodamine B, Vitamin B2 (riboflavin)",Drug,,,,,,Submersion in water,"Desorption-controlled release, saturates below 100% release; two-stage release behavior observed; release rate modulated by porogen type (e.g., PEG); enhanced by nanocracks from porogen leaching"
bcfee8c1-58b1-46a0-b18e-9ffa13e00321,Cytocompatible and spontaneously forming phospholipid polymer hydrogels,本研究设计了一种细胞相容性好、可自发形成的磷脂聚合物水凝胶体系，基于水溶性磷脂聚合物PMBV（含苯硼酸基团）与聚乙烯醇（PVA）通过可逆硼酸-二醇复合形成水凝胶，可在细胞培养条件下实现均匀细胞封装，细胞存活率高。通过旋转辅助层层自组装（LbL）工艺，构建了多层PMBV/PVA水凝胶，模拟体内组织分层结构，实现细胞的层特异性包埋及生物活性分子的临时储存。利用双层细胞负载层间可控距离的多层水凝胶，研究了距离依赖性细胞-细胞相互作用。进一步通过交替沉积PMBV与光反应性PVA并经光照射，构建双交联多层水凝胶，其对生物活性分子的扩散阻力显著高于单交联体系，可作为扩散调控屏障。该体系为调控3D细胞微环境中分子扩散及其对细胞行为的影响提供了有效工具，推动了基于细胞工程的3D细胞培养与组织再生医学的发展。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用含苯硼酸基团的磷脂聚合物（PMBV）与PVA通过可逆复合形成自组装水凝胶，实现活细胞的均匀封装，并通过层叠组装构建具有分层结构的多层水凝胶，具备调控生物分子扩散和细胞间相互作用的功能，符合聚合物设计与可控释放的核心特征。,"Poly(2-methacryloyloxyethyl phosphorylcholine-co-n-butyl methacrylate-co-p-vinylphenylboronic acid) (PMBV), Poly(vinyl alcohol) (PVA)",Hydrogel bead / Multilayered hydrogel,Reversible complexation between phenylboronic acid (PMBV) and diol groups (PVA); dual-crosslinking via photoreactive-PVA and photoirradiation,Living cells,Microorganism,Vegetative,"Not explicitly quantified, but uniform cell encapsulation is achieved",Cells survived well in the hydrogel under cell culture conditions; hydrogel provides a protective 3D environment mimicking in vivo tissue structure,Cells retained viability and functionality within the hydrogel; capable of maintaining cell–cell interactions and responding to diffusion-dependent cues,"No leakage reported during hydrogel formation or in the multilayered system; the dual-crosslinked hydrogel acts as a diffusion-controlling barrier, suggesting effective containment",Diffusion-controlled release via hydrogel matrix; dual-crosslinked version reduces diffusivity of bioactive molecules,"Sustained release (controlled by crosslinking density and layer structure), with no burst release reported"
bcd1a5ac-f26b-4e86-9f62-47504dbed7a9,Hyaluronic Acid Catechol: A Biopolymer Exhibiting a pH-Dependent Adhesive or Cohesive Property for Human Neural Stem Cell Engineering,本研究开发了一种新型生物聚合物——透明质酸-邻苯二酚（HA-catechol），其兼具pH依赖的黏附性与自交联性。在酸性条件下（pH < 6），HA-catechol通过邻苯二酚的金属配位与共价键作用实现表面黏附，可用于功能化材料表面，构建人神经干细胞（hNSCs）培养平台；在碱性条件下（pH > 8），邻苯二酚发生氧化交联（DOPA→醌），形成三维水凝胶，实现对hNSCs的封装。该HA-catechol水凝胶表现出优异的细胞相容性，显著优于传统HA基水凝胶。研究首次证明HA-catechol可作为双功能生物材料，通过调控pH环境，实现从表面黏附到三维自交联水凝胶的可逆转换，为神经干细胞工程提供了一种智能、高效、生物相容的材料平台。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于基于透明质酸-邻苯二酚（HA-catechol）的生物材料在神经干细胞工程中的应用，其核心是利用pH响应性调控材料的粘附性或自交联性，但负载物为神经干细胞（细胞），并非药物或活性微生物；且未涉及聚合物载体对负载物的保护、控释或靶向递送设计，仅作为细胞培养基质或3D水凝胶支架使用，不符合【Polymer for Delivery】中对可控释放、环境响应递送或微生物保护的核心判据。,Hyaluronic Acid-catechol (HA-catechol),Hydrogel (3D hydrogel),"pH-dependent transition: acidic pH promotes adhesion (surface coating), basic pH promotes cohesion (hydrogel formation)",Human Neural Stem Cells,Drug,,,,,,,
bc791627-97eb-47b4-bf31-389bfc4bc024,"Hydrophilic Stars, Amphiphilic Star Block Copolymers, and Miktoarm Stars with Degradable Polycarbonate Cores",本研究报道了一种一步法合成可降解碳酸酯核星形聚合物的简便策略。通过三乙基硼烷活化、双功能环氧化物（VCD）与CO₂的阴离子共聚，以PPNCl为引发剂，原位构建含80–90%碳酸酯单元的可降解聚碳酸酯核。随后，以PEO链段从核阴离子生长，形成亲水性PEO星形聚合物及星形嵌段共聚物；另一路径中，采用PPO前体作为大分子引发剂，通过“臂先法”构建碳酸酯核，进而合成兼具亲水与疏水臂的多臂异臂星形聚合物（miktoarm stars）。所制聚合物的碳酸酯核可通过水解降解，释放出PEO和PPO链段。该体系具有明确结构、高分子量、可调控臂数及可降解性，适用于PEG基药物递送载体等生物医学应用。,"Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于可降解碳酸酯核星形聚合物的合成，虽涉及药物递送潜在应用，但未涉及任何负载物（如药物或微生物）的封装、保护或响应性释放行为，也未设计用于靶向递送或控释的结构。其核心为聚合物化学合成方法，而非基于聚合物载体的递送系统设计。,"Polycarbonate (degradable), PEO, PPO","Star polymer, Miktoarm star",Hydrolysis of core carbonate linkages,,,,,,,,Hydrolysis of carbonate linkages,Degradation-driven release (not controlled release of payload)
bc60ed00-4460-4c7d-a170-670d6a1a3349,Revisiting the principles of preparing aqueous quantum dots for biological applications: the effects of surface ligands on the physicochemical properties of quantum dots,本研究系统考察了七种不同表面配体修饰的CdSe/CdS/ZnS量子点（QDs）在生物应用中的理化性质，包括短链巯基配体（MPA、MSA、Cys、AET）和聚乙二醇衍生物配体（mPEG-SH、CM-PEG-SH、NH₂-PEG-SH）。通过评估其在水、酸/中/碱性缓冲液及细胞培养基中的胶体稳定性、紫外光照下的光稳定性、细胞摄取率及体外毒性，发现：羧基端QDs在水和碱性环境中稳定性最佳；PEG修饰QDs在细胞培养基中胶体稳定性优于短链配体QDs；MPA、MSA和Cys-QDs光稳定性优于PEG修饰QDs，而AET-QDs最差；细胞摄取实验（RAW264.7巨噬细胞）显示，阴离子QDs摄取率显著高于阳离子QDs，且PEG链和表面电荷显著影响摄取效率。结果表明，不同配体修饰的QDs在稳定性、光稳定性、细胞摄取和毒性方面各有优劣，需根据具体生物应用需求谨慎选择配体类型以优化性能并规避局限性。,其他,FALSE,该论文聚焦于量子点（QDs）表面配体对理化性质的影响，未涉及任何聚合物载体结构（如微胶囊、水凝胶、核壳结构等）或环境响应性释放设计，其核心为表面修饰对稳定性、细胞摄取和毒性的影响，而非聚合物介导的药物/微生物递送系统。,,,,CdSe/CdS/ZnS quantum dots,Drug,,,,,,,
bbd55c95-6d95-4824-8b47-b190488c3e2b,An improved interfacial coacervation technique to fabricate biodegradable nanocapsules of an aqueous peptide solution from polylactide and its block copolymers with poly(ethylene glycol),本研究旨在开发一种改进的界面凝聚法，用于制备可生物降解的纳米囊泡，以高效包封水溶性肽类药物胰岛素（insulin）。采用丙交酯（DL-lactide）通过开环聚合接枝于聚乙二醇（PEG 2000或PEG 6000）上，合成ABA型嵌段共聚物（PLA-PEG-PLA），并利用质子核磁共振（¹H NMR）表征其结构。以该嵌段共聚物与聚丙交酯（PLA）为材料，通过改进的界面凝聚法，以甘油三油酸酯为油相、海藻糖T-70和Tween 20为乳化剂、无水乙醇替代乙醚作为有机溶剂，成功制备出包封胰岛素的可生物降解纳米囊泡。结果表明：纳米囊泡粒径主要取决于嵌段共聚物中PLA与PEG链段比例，随表面活性剂用量增加而减小，胰岛素溶液量增加则粒径增大；在最优条件下，可获得平均粒径约250 nm、分布窄的纳米囊泡；PEG 2000基共聚物的胰岛素包封率高于PEG 6000基共聚物，且随嵌段比例变化而改变。该技术为水溶性蛋白/肽类药物的靶向递送提供了有效途径。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,采用聚乳酸-聚乙二醇嵌段共聚物与聚乳酸通过改进的界面凝聚法构建可生物降解纳米胶囊，实现对水溶性肽类药物（胰岛素）的封装，具备可控释放潜力，符合聚合物设计与药物递送的核心特征。,"Polylactide (PLA), Block copolymer of polylactide and poly(ethylene glycol) (PEG 2000/6000)",Nanocapsule,"Biodegradation (in vivo degradation of PLA/PLGA), controlled release via polymer matrix erosion",Insulin,Drug,,"Encapsulation percentage was higher in PEG 2000 copolymers than in PEG 6000 analogs, and varied with block ratios (specific % not provided)",,,,Biodegradation in vivo (via hydrolytic erosion of PLA/PLGA matrix),Sustained release (implied by controlled release design and encapsulation of hydrophilic drug in biodegradable matrix)
bbef423d-39f1-4718-8a18-eeec765ff0bf,Interaction of N-(2-Hydroxypropyl)methacrylamide Copolymer-Doxorubicin Conjugates with Human Liver Microsomal Cytochromes P450: Comparison with Free Doxorubicin,本研究基于对881名政府与企业传播人员的调查，探究外部传播活动与媒体报道倾向的关系。研究发现，政府机构报告获得正面媒体报道的概率低于私营部门，但多数仍认为媒体覆盖为正面。关键影响因素包括：积极的媒体互动、组织对传播的支持及充足的传播预算，这些因素显著关联于更 favorable media coverage。相比之下，企业机构的正面报道受不同变量影响，仅传播预算作用一致。研究强调政府传播在应对公众不信任、提升政治合法性中的核心作用，尤其在涉及公共安全、政策变革等高敏感议题时，有效传播可改善政府形象。研究填补了公共行政领域关于政府传播与媒体关系的实证空白，验证了传播策略对媒体呈现的直接影响。,其他,FALSE,论文研究主题为政府对外沟通策略与媒体报道之间的关系，属于公共管理与传播学领域，未涉及任何聚合物载体、药物或微生物递送系统的设计、响应机制或控释行为，因此不符合【Polymer for Delivery】的核心特征。,,,,,,,,,,,,
bba19598-ad18-4c91-bc8a-637b2a0b16ef,"5-Fluorouracil-loaded poly(vinyl alcohol)/chitosan blend nanofibers: morphology, drug release and cell culture studies",本研究旨在制备并评估PVA/CS（50/50）共混纳米纤维作为5-氟尿嘧啶（5-FU）载药系统的性能。通过电纺工艺优化，获得平均直径约150.8 nm的纳米纤维，最佳条件为：电压17 kV、针尖至收集器距离60 cm、流速0.1 mL/h。FTIR与SEM结果表明，PVA、CS与5-FU在纺丝过程中无化学反应，纤维形貌均匀无珠状结构。为延长5-FU释放，构建三层结构PVA/CS-PCL纳米纤维，引入聚ε-己内酯（PCL）后材料亲水性降低，更趋疏水。MTT实验显示，该载药系统对NIH 3T3细胞具有显著杀伤作用，细胞存活率低于20%，表明其在癌症治疗中具有潜在应用价值。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用聚乙烯醇/壳聚糖（PVA/CS）共混纳米纤维作为载体，通过电纺技术构建具有可控释放特性的药物递送系统，引入聚ε-己内酯（PCL）层以延长5-氟尿嘧啶（5-FU）的释放，体现了聚合物结构设计与控释行为的调控。,"Poly(vinyl alcohol) (PVA), Chitosan (CS), Poly(ε-caprolactone) (PCL)",Electrospun nanofibers (3-layered structure: PVA/CS-PCL),"Hydrophobicity increase due to PCL addition leading to sustained release; no explicit environmental stimulus (e.g., pH/enzyme) response reported",5-Fluorouracil (5-FU),Drug,,,,,,Sustained release in physiological conditions (no specific trigger mentioned),"Sustained release (due to PCL layer addition), with prolonged release profile compared to single-layer PVA/CS fibers"
